"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ak6",0.00980522731442921,0.139173233972932,0.37,0.327,1,"EPO_responsive","Ak6"
"Ndufc1",0.00980902620214322,0.100613517553234,0.816,0.76,1,"EPO_responsive","Ndufc1"
"Shisa8",0.00997678587775939,0.139201912774699,0.443,0.37,1,"EPO_responsive","Shisa8"
"Coq5",0.0100915874942404,0.152332852806244,0.279,0.242,1,"EPO_responsive","Coq5"
"Cenpq",0.0103882720326594,0.136473284727762,0.361,0.312,1,"EPO_responsive","Cenpq"
"Eny2",0.0105052689139242,0.142218197776767,0.679,0.646,1,"EPO_responsive","Eny2"
"Nipsnap3b",0.0105881759647613,0.148911782913892,0.374,0.334,1,"EPO_responsive","Nipsnap3b"
"Spc25",0.0106492899812862,0.1432738411678,0.321,0.27,1,"EPO_responsive","Spc25"
"Elof1",0.0107350438235951,0.127804019536655,0.58,0.535,1,"EPO_responsive","Elof1"
"Asb6",0.0107356225826988,0.0968385294889865,0.102,0.068,1,"EPO_responsive","Asb6"
"Timm9",0.0110088672388585,0.146625243761883,0.38,0.336,1,"EPO_responsive","Timm9"
"mt-Nd3",0.0111805534934883,0.136491421245041,0.915,0.906,1,"EPO_responsive","mt-Nd3"
"Mydgf",0.0113477969527791,0.106314974215969,0.6,0.545,1,"EPO_responsive","Mydgf"
"Gins3",0.01149883480925,0.0789588201411311,0.111,0.07,1,"EPO_responsive","Gins3"
"Dnaja1",0.0115134586801975,0.113026123622427,0.793,0.747,1,"EPO_responsive","Dnaja1"
"Snrpg",0.0115768920697494,0.0770643215676623,0.98,0.983,1,"EPO_responsive","Snrpg"
"Klhdc4",0.011715120523325,0.0872481408874184,0.144,0.101,1,"EPO_responsive","Klhdc4"
"Akip1",0.0121866791769151,0.118136635466607,0.377,0.315,1,"EPO_responsive","Akip1"
"Sumo3",0.0121960935042715,0.0830734227145415,0.731,0.66,1,"EPO_responsive","Sumo3"
"Tma7",0.0123307721522707,0.085001509108197,0.964,0.945,1,"EPO_responsive","Tma7"
"Plekhj1",0.0126018346227663,0.140120422556758,0.718,0.678,1,"EPO_responsive","Plekhj1"
"Exosc1",0.0128591306884706,0.139640535720344,0.449,0.404,1,"EPO_responsive","Exosc1"
"Fam60a",0.0130015169988724,0.131773760392314,0.397,0.343,1,"EPO_responsive","Fam60a"
"Ppa1",0.0130525506410816,0.0991133363135956,0.643,0.57,1,"EPO_responsive","Ppa1"
"Hspe1",0.0133407163079413,0.0956702232323754,0.957,0.933,1,"EPO_responsive","Hspe1"
"Ap1s3",0.01340175763181,0.106055763902346,0.187,0.138,1,"EPO_responsive","Ap1s3"
"Atp5g2",0.0135491360709311,0.0679415350675692,0.99,0.978,1,"EPO_responsive","Atp5g2"
"Itgb3bp",0.0138112614567478,0.134005105124467,0.344,0.293,1,"EPO_responsive","Itgb3bp"
"Ndufaf5",0.0140802762558024,0.105028313498843,0.131,0.099,1,"EPO_responsive","Ndufaf5"
"Atp5l",0.0141170270461166,0.0638376697221568,0.993,0.978,1,"EPO_responsive","Atp5l"
"Ppih",0.0143728520441595,0.142848335847549,0.39,0.35,1,"EPO_responsive","Ppih"
"Cdca2",0.0145105164902185,0.106596929415116,0.203,0.162,1,"EPO_responsive","Cdca2"
"Snrpb",0.0146344437359392,0.0523290798213765,0.967,0.936,1,"EPO_responsive","Snrpb"
"Hddc2",0.014767452955121,0.131190061609167,0.325,0.279,1,"EPO_responsive","Hddc2"
"Mrfap1",0.0147811255928901,0.0959619438770016,0.846,0.819,1,"EPO_responsive","Mrfap1"
"Pigf",0.0150436678947175,0.110438303567519,0.207,0.169,1,"EPO_responsive","Pigf"
"Srm",0.0151063370849236,0.120156174904315,0.57,0.51,1,"EPO_responsive","Srm"
"Foxn2",0.015150895601871,0.100086773856715,0.164,0.123,1,"EPO_responsive","Foxn2"
"Prdx4",0.0153665620393628,0.137093007335305,0.403,0.358,1,"EPO_responsive","Prdx4"
"AK010878",0.0154161648299907,0.1193130412891,0.256,0.213,1,"EPO_responsive","AK010878"
"Tomm20",0.0154856359614198,0.059094458415978,0.954,0.918,1,"EPO_responsive","Tomm20"
"Nkiras2",0.0154889499957673,0.101574655378788,0.144,0.106,1,"EPO_responsive","Nkiras2"
"Eif4e",0.0162479178894928,0.137545248623141,0.607,0.569,1,"EPO_responsive","Eif4e"
"Tram2",0.0164408032321217,0.0872873762224336,0.121,0.082,1,"EPO_responsive","Tram2"
"Cep57l1",0.016458054454941,0.12460895635908,0.295,0.248,1,"EPO_responsive","Cep57l1"
"Cbfb",0.0167777835539682,0.148499872663818,0.567,0.533,1,"EPO_responsive","Cbfb"
"Derl2",0.0171171002124159,0.13381896895215,0.272,0.238,1,"EPO_responsive","Derl2"
"Tmx1",0.0173321033167616,0.120890639088379,0.39,0.336,1,"EPO_responsive","Tmx1"
"Lrrc58",0.0178203557052612,0.129677468448708,0.584,0.551,1,"EPO_responsive","Lrrc58"
